PLAYER_ID,PLAYER_NAME,USG_PCT
1642266,Ja'Kobe Walter,0.135
1631095,Jabari Smith Jr.,0.179
1631133,Jabari Walker,0.135
1631210,Jacob Toppin,0.14
1630702,Jaden Hardy,0.23
1631093,Jaden Ivey,0.199
1630183,Jaden McDaniels,0.179
1630256,Jae'Sean Tate,0.131
1642942,Jahmai Mashack,0.18
1642443,Jahmir Young,0.191
1643141,Jahmyl Telfort,0.093
1631170,Jaime Jaquez Jr.,0.218
1631222,Jake LaRavia,0.144
1627751,Jakob Poeltl,0.141
1628973,Jalen Brunson,0.307
1631105,Jalen Duren,0.221
1630224,Jalen Green,0.37
1630552,Jalen Johnson,0.259
1629618,Jalen Pickett,0.15
1630188,Jalen Smith,0.191
1630591,Jalen Suggs,0.238
1631114,Jalen Williams,0.247
1630592,Jalen Wilson,0.156
1631288,Jamal Cain,0.163
1627750,Jamal Murray,0.274
1642347,Jamal Shead,0.161
1631123,Jamaree Bouyea,0.177
201935,James Harden,0.299
1630164,James Wiseman,0.114
1642364,Jamir Watkins,0.101
1642419,Jamison Battle,0.141
1641716,Jarace Walker,0.182
1642272,Jared McCain,0.179
1628991,Jaren Jackson Jr.,0.246
1629020,Jarred Vanderbilt,0.118
1628386,Jarrett Allen,0.186
1642859,Jase Richardson,0.181
1642914,Javon Small,0.179
1631451,Javonte Cooke,0.185
1629750,Javonte Green,0.141
1629637,Jaxson Hayes,0.11
1630643,Jay Huff,0.172
1627759,Jaylen Brown,0.357
1641740,Jaylen Clark,0.124
1642377,Jaylen Wells,0.181
1631119,Jaylin Williams,0.154
1642281,Jaylon Tyson,0.176
201145,Jeff Green,0.166
203924,Jerami Grant,0.237
1642847,Jeremiah Fears,0.241
1630526,Jeremiah Robinson-Earl,0.132
1631110,Jeremy Sochan,0.144
1630579,Jericho Sims,0.083
1641724,Jett Howard,0.175
1628975,Jevon Carter,0.185
202710,Jimmy Butler III,0.225
1642866,Joan Beringer,0.131
1629111,Jock Landale,0.178
204060,Joe Ingles,0.074
203954,Joel Embiid,0.335
1628381,John Collins,0.18
1629723,John Konchar,0.087
1641780,Johni Broome,0.24
1642277,Johnny Furphy,0.125
1630548,Johnny Juzang,0.214
202685,Jonas Valančiūnas,0.258
1628371,Jonathan Isaac,0.123
1630228,Jonathan Kuminga,0.238
1642367,Jonathan Mogbo,0.09
203903,Jordan Clarkson,0.208
1630692,Jordan Goodwin,0.186
1641722,Jordan Hawkins,0.162
1629162,Jordan McLaughlin,0.161
1641757,Jordan Miller,0.168
1629673,Jordan Poole,0.237
1641775,Jordan Walsh,0.111
1630631,Jose Alvarado,0.155
1630581,Josh Giddey,0.251
1630182,Josh Green,0.111
1628404,Josh Hart,0.165
1631169,Josh Minott,0.133
1629006,Josh Okogie,0.122
201950,Jrue Holiday,0.216
1630577,Julian Champagnie,0.149
1641763,Julian Phillips,0.118
1631124,Julian Strawther,0.192
203944,Julius Randle,0.26
1630551,Justin Champagnie,0.145
1642348,Justin Edwards,0.15
203994,Jusuf Nurkić,0.18
1642354,KJ Simpson,0.222
1642880,Kam Jones,0.141
1626157,Karl-Anthony Towns,0.252
1631255,Karlo Matković,0.136
1642857,Kasparas Jakučionis,0.133
202695,Kawhi Leonard,0.315
1630811,Keaton Wallace,0.152
1631099,Keegan Murray,0.183
1642276,Kel'el Ware,0.165
1629640,Keldon Johnson,0.19
203482,Kelly Olynyk,0.153
1626162,Kelly Oubre Jr.,0.17
1629026,Kenrich Williams,0.156
203484,Kentavious Caldwell-Pope,0.171
1631165,Keon Ellis,0.133
1642352,Keshad Johnson,0.16
201142,Kevin Durant,0.261
1628989,Kevin Huerter,0.193
201567,Kevin Love,0.169
1641755,Kevin McCullar Jr.,0.159
1629645,Kevin Porter Jr.,0.235
1626172,Kevon Looney,0.101
1641718,Keyonte George,0.27
1642863,Khaman Maluach,0.156
203114,Khris Middleton,0.18
202691,Klay Thompson,0.209
1641738,Kobe Brown,0.155
1641723,Kobe Bufkin,0.08
1642920,Kobe Sanders,0.15
1642886,Koby Brea,0.182
1642851,Kon Knueppel,0.214
1627739,Kris Dunn,0.13
1631200,Kris Murray,0.1
204001,Kristaps Porziņģis,0.259
203937,Kyle Anderson,0.163
1642271,Kyle Filipowski,0.176
1628398,Kyle Kuzma,0.205
